Centre_ID,Group,CentreType,Date,Type,Energy,CoP,BeamQualRatio,BeamQualError,OPRatio,OPError,IntercompRatio,IntercompError,,
14,2,NHS,07/06/1994,MV,8,,0.985788467,0.2,1.005967774,0.2,0.999252243,0.40,,
40,4,NHS,27/07/1994,MV,6,,1.002496329,0.2,1.006190942,0.2,,,,
1,1,NHS,10/02/2007,MeV,4,2003,0.01,0.2,0.998,0.2,1.001,0.40,,
1,1,NHS,10/02/2007,MeV,6,2003,0.02,0.2,1.003,0.2,1.002,0.40,,
1,1,NHS,10/02/2007,MeV,9,2003,0.03,0.2,1.003,0.2,1.001,0.40,,
1,1,NHS,10/02/2007,MeV,12,2003,0.05,0.2,0.999,0.2,1.001,0.40,,
1,1,NHS,10/02/2007,MeV,16,2003,-0.01,0.2,1.002,0.2,1.002,0.40,,
40,4,NHS,11/06/1998,kV,30,,,,1.011928429,0.6,,,,
6,6,NHS,09/08/2005,kV,85,,1.07,3,0.999,0.6,,,,
6,6,NHS,09/08/2005,kV,250,,1.02,5,1.008,0.8,1.001,0.40,,
26,3,NHS,18/10/1994,MV,6,,0.993704246,0.2,1.001325178,0.2,1.009010774,0.40,,
7,6,NHS,16/11/1994,MV,8,,1.00056,0.2,0.996,0.2,0.99434,0.40,,
22,7,NHS,15/06/1995,MV,6,,1.0102526,0.2,1.003109328,0.2,1.003175163,0.40,,
3,1,NHS,21/06/1995,MV,6,,0.996029412,0.2,0.98802521,0.2,0.985836386,0.40,,
39,4,NHS,24/04/1996,MV,15,,0.9987,0.2,1.0083,0.2,0.99555,0.40,,
44,5,NHS,15/05/1996,MV,16,,1.0066,0.2,1.0111,0.2,1.0109,0.40,,
4,1,NHS,19/06/1996,MV,6,,0.9941,0.2,1.0019,0.2,1.0069,0.40,,
10,6,NHS,21/06/1996,MV,8,,1.0042,0.2,1.0199,0.2,1.0043,0.40,,
20,7,NHS,03/09/1996,MV,6,,0.997,0.2,1.007,0.2,1.00049,0.40,,
14,2,NHS,10/10/1996,MV,8,,0.985,0.2,1.001,0.2,0.9995,0.40,,
13,2,NHS,31/10/1996,MV,6,,1.001319455,0.2,1.019406393,0.2,1.001813357,0.40,,
13,2,NHS,31/10/1996,MV,25,,0.987065176,0.2,1.012356322,0.2,1.009734918,0.40,,
38,4,NHS,20/02/1997,MV,5,,0.9939,0.2,1.009,0.2,1.003,0.40,,
33,3,NHS,17/06/1997,MV,6,,1,0.2,0.991,0.2,0.984,0.40,,
46,5,NHS,21/03/2000,MV,6,,0.993,0.15,0.996,0.2,0.958,0.40,,
5,6,NHS,24/03/2000,MV,6,,1.004,0.2,0.991,0.2,1.004,0.40,,
