linac_id,linac_name,install_year,full_date,device,type,energy,r1,r2,r3,rmean,temp,press,rcorr,rstd,op,DateCat,op_corr,days_dif
1,LA1,2008,01/11/2012,L00498,Linacheck,6MeV,0.444,0.445,0.446,0.445,23.6,726.5,0.445,0.448,-0.669642857,0,-0.669642857,0
5,LA5,2005,01/11/2012,L00535,Linacheck,6MV,0.813,0.813,0.813,0.813,24.1,726.5,0.813,0.8,1.625,0,1.625,0
5,LA5,2005,01/11/2012,L00535,Linacheck,10MV,0.831,0.83,0.829,0.83,24.1,726.5,0.83,0.827,0.362756953,0,0.362756953,0
5,LA5,2005,01/11/2012,L00535,Linacheck,20MeV,0.795,0.795,0.796,0.795333333,24.1,726.5,0.795333333,0.792,0.420875421,0,0.420875421,0
5,LA5,2005,01/11/2012,L00535,Linacheck,16MeV,0.786,0.786,0.786,0.786,24.1,726.5,0.786,0.783,0.383141762,0,0.383141762,0
5,LA5,2005,01/11/2012,L00535,Linacheck,12MeV,0.791,0.791,0.791,0.791,24.1,726.5,0.791,0.785,0.76433121,0,0.76433121,0
5,LA5,2005,01/11/2012,L00535,Linacheck,9MeV,0.799,0.8,0.801,0.8,24.1,726.5,0.8,0.794,0.755667506,0,0.755667506,0
5,LA5,2005,01/11/2012,L00535,Linacheck,6MeV,0.445,0.446,0.447,0.446,24.1,726.5,0.446,0.434,2.764976959,0,2.764976959,0
4,LA4,2007,01/11/2012,L00500,Linacheck,15MV,0.836,0.835,0.836,0.835666667,23.7,726.5,0.835666667,0.828,0.925925926,0,0.925925926,0
4,LA4,2007,01/11/2012,L00500,Linacheck,6MV,0.807,0.806,0.806,0.806333333,23.7,726.5,0.806333333,0.8,0.791666667,0,0.791666667,0
3,LA3,2006,01/11/2012,L00499,Linacheck,15MV,0.836,0.834,0.834,0.834666667,26.1,726.5,0.834666667,0.828,0.805152979,0,0.805152979,0
3,LA3,2006,01/11/2012,L00499,Linacheck,6MV,0.803,0.801,0.801,0.801666667,26.1,726.5,0.801666667,0.8,0.208333333,0,0.208333333,0
2,LA2,2010,01/11/2012,L00597,Linacheck,6MV,0.798,0.799,0.799,0.798666667,23.7,726.5,0.798666667,0.8,-0.166666667,0,-0.166666667,0
5,LA5,2005,01/11/2012,345 + 3453,Farmer,6MeV,62.76,62.85,62.78,62.79666667,24.2,731.2,66.20567011,65.3,1.386937381,0,1.386937381,0
2,LA2,2010,01/11/2012,L00597,Linacheck,20MeV,0.799,0.8,0.8,0.799666667,23.7,726.5,0.799666667,0.797,0.334588038,0,0.334588038,0
2,LA2,2010,01/11/2012,L00597,Linacheck,10MV,0.829,0.828,0.828,0.828333333,23.7,726.5,0.828333333,0.827,0.161225312,0,0.161225312,0
1,LA1,2008,01/11/2012,L00498,Linacheck,12MeV,0.774,0.774,0.774,0.774,23.6,726.5,0.774,0.781,-0.896286812,0,-0.896286812,0
1,LA1,2008,01/11/2012,L00498,Linacheck,16MeV,0.774,0.775,0.775,0.774666667,23.6,726.5,0.774666667,0.783,-1.064282673,0,-1.064282673,0
1,LA1,2008,01/11/2012,L00498,Linacheck,20MeV,0.788,0.787,0.787,0.787333333,23.6,726.5,0.787333333,0.796,-1.088777219,0,-1.088777219,0
1,LA1,2008,01/11/2012,L00498,Linacheck,10MV,0.823,0.821,0.821,0.821666667,23.6,726.5,0.821666667,0.825,-0.404040404,0,-0.404040404,0
1,LA1,2008,01/11/2012,L00498,Linacheck,9MeV,0.785,0.785,0.785,0.785,23.6,726.5,0.785,0.792,-0.883838384,0,-0.883838384,0
2,LA2,2010,01/11/2012,L00597,Linacheck,6MeV,0.42,0.421,0.421,0.420666667,23.7,726.5,0.420666667,0.414,1.610305958,0,1.610305958,0
2,LA2,2010,01/11/2012,L00597,Linacheck,9MeV,0.796,0.796,0.796,0.796,23.7,726.5,0.796,0.793,0.378310214,0,0.378310214,0
2,LA2,2010,01/11/2012,L00597,Linacheck,12MeV,0.777,0.776,0.775,0.776,23.7,726.5,0.776,0.78,-0.512820513,0,-0.512820513,0
2,LA2,2010,01/11/2012,L00597,Linacheck,16MeV,0.784,0.784,0.785,0.784333333,23.7,726.5,0.784333333,0.785,-0.08492569,0,-0.08492569,0
1,LA1,2008,01/11/2012,L00498,Linacheck,6MV,0.793,0.793,0.793,0.793,23.6,726.5,0.793,0.8,-0.875,0,-0.875,0
3,LA3,2006,02/11/2012,L00499,Linacheck,15MV,0.833,0.832,0.832,0.832333333,24.4,736.6,0.832333333,0.828,0.523349436,0,0.523349436,1
4,LA4,2007,02/11/2012,L00500,Linacheck,6MV,0.81,0.809,0.809,0.809333333,23.6,736.6,0.809333333,0.8,1.166666667,0,1.166666667,1
