Centre_ID,NHS_PP,Group,Linac_Manufacturer,Linac_Model,Linac_Install_Date,Linac_ID,Date,Measurement_Device,OP_Dif,Week,Month,Farmer,date_delta,weekday,DateCat,Corr_OP,Device_Type
20,NHS,3,Varian,TrueBeam,?,115,01/01/2015,Diodes,-1.290165289,1,1,Non-Farmer,0,3,0,-1.290165289,diodes
3,NHS,6,Varian,Clinac iX,?,23,01/01/2015,Linacheck,0.57208238,1,1,Non-Farmer,0,3,0,0.57208238,linacheck
39,NHS,7,Elekta,Synergy,2005,167,01/01/2015,PTW QC6,2.3,1,1,Non-Farmer,0,3,0,2.3,quickcheck
20,NHS,3,Varian,2100,?,120,01/01/2015,Diodes,0.168530814,1,1,Non-Farmer,0,3,0,0.168530814,diodes
1,NHS,5,Elekta,Agility,2012,2,01/01/2015,Linacheck,-1,1,1,Non-Farmer,0,3,0,-1,linacheck
20,NHS,3,Varian,2100,?,118,01/01/2015,Diodes,-1.471126827,1,1,Non-Farmer,0,3,0,-1.471126827,diodes
39,NHS,7,Elekta,Precise,2003,166,01/01/2015,PTW QC6,-1.4,1,1,Non-Farmer,0,3,0,-1.4,quickcheck
11,NHS,1,Siemens,Oncor,2008,66,01/01/2015,Linacheck,1.965811966,1,1,Non-Farmer,0,3,0,1.965811966,linacheck
20,NHS,3,Varian,2100,?,119,01/01/2015,Diodes,-0.657420145,1,1,Non-Farmer,0,3,0,-0.657420145,diodes
19,NHS,3,Varian,2100 iX,2007,109,01/01/2015,BeamChecker,1.3,1,1,Non-Farmer,0,3,0,1.3,beamchecker
11,NHS,1,Siemens,Oncor,2008,66,01/01/2015,Linacheck,0.769230769,1,1,Non-Farmer,0,3,0,0.769230769,linacheck
10,NHS,1,Varian,Clinac 2100iX,2007,60,01/01/2015,LinaCheck,0.5,1,1,Non-Farmer,0,3,0,0.5,linacheck
26,NHS,3,Elekta,Precise,2003,130,02/01/2015,CheckMate,1.5,1,1,Non-Farmer,1,4,0,1.5,checkmate
44,Private,4,Varian,Trilogy,2009,181,02/01/2015,DQA3,-1.94,1,1,Non-Farmer,1,4,0,-1.94,dqa3
11,NHS,1,Siemens,Oncor,2008,68,02/01/2015,Linacheck,0.683760684,1,1,Non-Farmer,1,4,0,0.683760684,linacheck
44,Private,4,Varian,iX,2008,180,02/01/2015,DQA3,0.13,1,1,Non-Farmer,1,4,0,0.13,dqa3
50,NHS,2,Elekta,Agility,2010,194,02/01/2015,BeamChecker,-1.2,1,1,Non-Farmer,1,4,0,-1.2,beamchecker
2,NHS,6,Varian,2100CD,2010,15,02/01/2015,Linacheck,1.55,1,1,Non-Farmer,1.351331019,4,0,1.55,linacheck
21,Private,8,Varian,TrueBeam,2014,129,02/01/2015,SunNuclear DailyQA 3,-0.58,1,1,Non-Farmer,1,4,0,-0.58,dqa3
11,NHS,1,Siemens,Oncor,2008,68,02/01/2015,Linacheck,0.512820513,1,1,Non-Farmer,1,4,0,0.512820513,linacheck
11,NHS,1,Siemens,Oncor,2008,70,02/01/2015,Linacheck,0.299145299,1,1,Non-Farmer,1,4,0,0.299145299,linacheck
50,NHS,2,Elekta,Agility,2010,193,02/01/2015,BeamChecker,0.2,1,1,Non-Farmer,1,4,0,0.2,beamchecker
50,NHS,2,Elekta,Agility,2010,193,02/01/2015,BeamChecker,-0.4,1,1,Non-Farmer,1,4,0,-0.4,beamchecker
11,NHS,1,Siemens,Oncor,2008,69,02/01/2015,Linacheck,0.769230769,1,1,Non-Farmer,1,4,0,0.769230769,linacheck
20,NHS,3,Varian,2100,?,120,02/01/2015,Diodes,-0.820534727,1,1,Non-Farmer,1,4,0,-0.820534727,diodes
20,NHS,3,Varian,2100,?,118,02/01/2015,Diodes,-0.897903893,1,1,Non-Farmer,1,4,0,-0.897903893,diodes
11,NHS,1,Siemens,Oncor,2008,70,02/01/2015,Linacheck,-0.256410256,1,1,Non-Farmer,1,4,0,-0.256410256,linacheck
50,NHS,2,Elekta,Synergy,2006,192,02/01/2015,BeamChecker,-0.4,1,1,Non-Farmer,1,4,0,-0.4,beamchecker
20,NHS,3,Varian,2100,?,119,02/01/2015,Diodes,-0.409827973,1,1,Non-Farmer,1,4,0,-0.409827973,diodes
11,NHS,1,Siemens,Oncor,2008,69,02/01/2015,Linacheck,0.555555556,1,1,Non-Farmer,1,4,0,0.555555556,linacheck
11,NHS,1,Siemens,Oncor,2003,71,02/01/2015,Linacheck,1.282051282,1,1,Non-Farmer,1,4,0,1.282051282,linacheck
11,NHS,1,Siemens,Oncor,2004,67,02/01/2015,Linacheck,1.282051282,1,1,Non-Farmer,1,4,0,1.282051282,linacheck
44,Private,4,Varian,iX,2008,180,02/01/2015,DQA3,0.06,1,1,Non-Farmer,1,4,0,0.06,dqa3
11,NHS,1,Siemens,Oncor,2004,67,02/01/2015,Linacheck,1.025641026,1,1,Non-Farmer,1,4,0,1.025641026,linacheck
2,NHS,6,Varian,TrueBeam,2013,19,02/01/2015,QA3,0.28,1,1,Non-Farmer,1.382430556,4,0,0.28,dqa3
20,NHS,3,Varian,TrueBeam,?,116,02/01/2015,Diodes,-1.5085712,1,1,Non-Farmer,1,4,0,-1.5085712,diodes
10,NHS,1,Varian,Clinac 2100EX,2006,57,02/01/2015,BeamChecker,0.6,1,1,Non-Farmer,1,4,0,0.6,beamchecker
22,NHS,4,Varian,2100CD,2006,140,02/01/2015,DQA3,-1.479818999,1,1,Non-Farmer,1.324293981,4,0,-1.479818999,dqa3
22,NHS,4,Varian,2100CD,2006,139,02/01/2015,DQA3,-1.248966485,1,1,Non-Farmer,1.335833333,4,0,-1.248966485,dqa3
51,NHS,2,Elekta,Precise,2003,197,02/01/2015,Linacheck,0.9461,1,1,Non-Farmer,1,4,0,0.9461,linacheck
22,NHS,4,Varian,2100CD,2005,138,02/01/2015,DQA3,-0.348651395,1,1,Non-Farmer,1.331458333,4,0,-0.348651395,dqa3
